"","asin","Alternative Rock","Blues","Country","Folk","Jazz","Other","Pop","Rap & Hip-Hop","Rock"
"1","5555991584",0,0,0,0,0,0,1,0,0
"2","B0000000ZW",0,0,0,0,0,0,1,0,0
"3","B00000016T",1,0,0,0,0,0,0,0,0
"4","B00000016W",0,0,0,0,0,0,0,0,1
"5","B00000017R",0,0,0,0,1,0,0,0,0
"6","B0000001P4",0,0,0,0,1,0,0,0,0
"7","B0000002HZ",0,0,1,0,0,0,0,0,0
"8","B0000002J9",0,0,1,0,0,0,0,0,0
"9","B0000002JR",0,0,1,0,0,0,0,0,0
"10","B0000002ME",0,0,1,0,0,0,0,0,0
"11","B0000002O5",0,0,1,0,0,0,0,0,0
"12","B0000003S0",0,0,1,0,0,0,0,0,0
"13","B0000004TW",1,0,0,0,0,0,0,0,0
"14","B0000004UM",0,0,0,0,0,0,1,0,0
"15","B0000004UO",0,0,0,0,0,0,1,0,0
"16","B0000004UU",0,1,0,0,0,0,0,0,0
"17","B0000004VK",0,1,0,0,0,0,0,0,0
"18","B0000004VN",0,1,0,0,0,0,0,0,0
"19","B0000004VW",0,0,0,0,0,0,1,0,0
"20","B0000004X1",0,0,0,0,0,0,1,0,0
"21","B0000004XH",0,1,0,0,0,0,0,0,0
"22","B0000004YB",0,1,0,0,0,0,0,0,0
"23","B0000004YH",0,1,0,0,0,0,0,0,0
"24","B0000004ZO",0,1,0,0,0,0,0,0,0
"25","B000000504",0,0,0,0,0,0,1,0,0
"26","B000000509",0,0,0,0,0,0,1,0,0
"27","B00000050N",0,0,0,0,0,0,0,1,0
"28","B00000050R",0,1,0,0,0,0,0,0,0
"29","B00000050T",0,0,0,0,0,0,1,0,0
"30","B000000518",0,1,0,0,0,0,0,0,0
"31","B00000051I",0,0,0,0,0,0,1,0,0
"32","B00000051K",0,0,0,0,0,0,1,0,0
"33","B00000052I",0,0,0,0,0,0,1,0,0
"34","B00000052P",0,0,0,0,0,0,1,0,0
"35","B00000052Y",0,0,0,0,0,0,1,0,0
"36","B000000536",0,0,0,0,0,0,1,0,0
"37","B00000053B",0,0,0,0,0,0,1,0,0
"38","B00000053G",0,1,0,0,0,0,0,0,0
"39","B00000053Q",0,1,0,0,0,0,0,0,0
"40","B00000053X",0,0,0,0,0,0,1,0,0
"41","B000000541",0,0,0,0,0,0,1,0,0
"42","B000000545",0,0,0,0,0,0,1,0,0
"43","B000000548",0,1,0,0,0,0,0,0,0
"44","B00000054A",0,0,0,0,0,0,1,0,0
"45","B00000054H",0,0,0,0,0,0,1,0,0
"46","B000000559",0,1,0,0,0,0,0,0,0
"47","B00000055E",0,1,0,0,0,0,0,0,0
"48","B0000005XM",1,0,0,0,0,0,0,0,0
"49","B00000064E",0,0,1,0,0,0,0,0,0
"50","B00000064F",0,0,0,1,0,0,0,0,0
"51","B00000064G",0,0,0,1,0,0,0,0,0
"52","B0000008ZY",0,0,1,0,0,0,0,0,0
"53","B0000009AN",1,0,0,0,0,0,0,0,0
"54","B0000009OU",1,0,0,0,0,0,0,0,0
"55","B0000009QO",1,0,0,0,0,0,0,0,0
"56","B0000009QT",0,0,0,1,0,0,0,0,0
"57","B0000009UT",1,0,0,0,0,0,0,0,0
"58","B0000009UW",1,0,0,0,0,0,0,0,0
"59","B0000009UX",1,0,0,0,0,0,0,0,0
"60","B0000009UZ",1,0,0,0,0,0,0,0,0
"61","B0000009V1",1,0,0,0,0,0,0,0,0
"62","B0000009YB",0,1,0,0,0,0,0,0,0
"63","B000000D7C",0,0,1,0,0,0,0,0,0
"64","B000000EDW",0,0,0,1,0,0,0,0,0
"65","B000000EE2",0,0,0,1,0,0,0,0,0
"66","B000000EE4",0,0,0,1,0,0,0,0,0
"67","B000000F52",0,0,1,0,0,0,0,0,0
"68","B000000FG5",0,0,0,0,0,0,0,1,0
"69","B000000HHU",0,0,0,0,0,0,0,1,0
"70","B000000HJO",0,0,0,0,0,0,0,1,0
"71","B000000HKV",0,0,0,0,0,0,0,1,0
"72","B000000HLL",0,0,0,0,0,0,1,0,0
"73","B000000HQ1",1,0,0,0,0,0,0,0,0
"74","B000000HRP",0,0,0,0,1,0,0,0,0
"75","B000000HRS",0,0,0,0,1,0,0,0,0
"76","B000000I0D",0,0,0,0,0,0,0,0,1
"77","B000000I0G",0,0,0,0,0,0,0,0,1
"78","B000000I0H",0,0,0,0,0,0,0,0,1
"79","B000000I2R",1,0,0,0,0,0,0,0,0
"80","B000000IDJ",1,0,0,0,0,0,0,0,0
"81","B000000IRN",0,0,0,0,1,0,0,0,0
"82","B000000IS5",0,0,0,0,1,0,0,0,0
"83","B000000ISE",0,0,0,0,0,0,0,0,1
"84","B000000NN1",0,0,0,0,1,0,0,0,0
"85","B000000OB7",0,0,0,0,0,0,0,0,1
"86","B000000OMB",0,0,0,0,0,0,0,0,1
"87","B000000OME",0,0,0,1,0,0,0,0,0
"88","B000000OOE",1,0,0,0,0,0,0,0,0
"89","B000000OPC",0,0,0,1,0,0,0,0,0
"90","B000000OPM",1,0,0,0,0,0,0,0,0
"91","B000000OPZ",0,0,0,0,0,0,1,0,0
"92","B000000OQ5",0,0,0,0,0,0,1,0,0
"93","B000000OQL",1,0,0,0,0,0,0,0,0
"94","B000000OQS",0,0,0,1,0,0,0,0,0
"95","B000000OQW",1,0,0,0,0,0,0,0,0
"96","B000000ORB",0,0,0,1,0,0,0,0,0
"97","B000000ORE",0,0,0,0,0,0,1,0,0
"98","B000000ORH",0,0,0,0,0,0,1,0,0
"99","B000000ORJ",0,0,0,0,1,0,0,0,0
"100","B000000ORL",0,0,0,1,0,0,0,0,0
"101","B000000ORX",0,0,0,1,0,0,0,0,0
"102","B000000OSL",0,0,0,1,0,0,0,0,0
"103","B000000OSU",0,0,1,0,0,0,0,0,0
"104","B000000OT3",0,0,0,0,0,0,1,0,0
"105","B000000OT5",1,0,0,0,0,0,0,0,0
"106","B000000OU9",1,0,0,0,0,0,0,0,0
"107","B000000OUJ",0,0,0,0,0,0,0,1,0
"108","B000000OUU",0,0,0,1,0,0,0,0,0
"109","B000000OVC",1,0,0,0,0,0,0,0,0
"110","B000000OWM",1,0,0,0,0,0,0,0,0
"111","B000000OWT",0,0,0,0,0,0,1,0,0
"112","B000000OWW",1,0,0,0,0,0,0,0,0
"113","B000000OXD",0,0,0,0,0,0,1,0,0
"114","B000000OYB",1,0,0,0,0,0,0,0,0
"115","B000000OYK",0,0,0,0,0,0,1,0,0
"116","B000000OYQ",0,0,0,0,0,0,0,0,1
"117","B000000P0G",1,0,0,0,0,0,0,0,0
"118","B000000P0N",1,0,0,0,0,0,0,0,0
"119","B000000TDH",1,0,0,0,0,0,0,0,0
"120","B000000VC2",0,0,0,0,0,0,1,0,0
"121","B000000W2Z",0,0,0,0,0,0,0,1,0
"122","B000000W54",0,0,0,0,0,0,1,0,0
"123","B000000W6X",0,0,0,0,0,0,1,0,0
"124","B000000W7O",0,0,0,0,0,0,0,1,0
"125","B000000W7W",0,0,0,0,0,0,0,1,0
"126","B000000W98",0,0,0,0,0,0,0,1,0
"127","B000000WBB",0,0,0,0,0,0,0,1,0
"128","B000000WCT",1,0,0,0,0,0,0,0,0
"129","B000000WCV",0,0,0,0,0,0,1,0,0
"130","B000000WGF",0,0,0,0,0,0,1,0,0
