"","title","asin","genre","year","price","recommendation","sim"
"1","Singles 1969-1981","B00004R7VU","Pop",2000,8.82,"Carpenters Gold CD [2 Discs]",0.910949997407194
"2","Who Is Jill Scott? Words and Sounds, Vol. 1","B00004UARR","Blues",2000,10.97,"Beautifully Human: Words &amp; Sounds 2",0.89361800442784
"3","Beautifully Human: Words &amp; Sounds 2","B0002S94RK","Rap & Hip-Hop",2009,7.49,"Who Is Jill Scott? Words and Sounds, Vol. 1",0.89361800442784
"4","Who Is Jill Scott? Words and Sounds, Vol. 1","B00004UARR","Blues",2000,10.97,"Experience: Jill Scott 826+",0.890049880587196
"5","Experience: Jill Scott 826+","B00005R5V2","Rap & Hip-Hop",2001,18.99,"Who Is Jill Scott? Words and Sounds, Vol. 1",0.890049880587196
"6","Pink Moon","B00000064G","Folk",1992,29.99,"Five Leaves Left",0.889474906171195
"7","Five Leaves Left","B00000064E","Country",1992,9.9,"Pink Moon",0.889474906171195
"8","Cross Road","B000001EC1","Pop",1994,8.8,"Bon Jovi",0.889070441213196
"9","Bon Jovi","B000001F4X","Pop",1990,10.78,"Cross Road",0.889070441213196
"10","The Inspiration","B000IFRQMW","Rap & Hip-Hop",2006,8.15,"Let's Get It: Thug Motivation 101",0.882194766581154
"11","Let's Get It: Thug Motivation 101","B0009VJWQS","Rap & Hip-Hop",2012,9.59,"The Inspiration",0.882194766581154
"12","Sings","B000005GW2","Jazz",1998,10.07,"It Could Happen To You",0.881753001003327
"13","It Could Happen To You","B000000YGZ","Jazz",2006,14.98,"Sings",0.881753001003327
"14","The Legacy of","B000002VS3","Blues",1996,11.88,"Somewhere in My Lifetime",0.877419606841757
"15","Somewhere in My Lifetime","B00000K5AI","Pop",2004,9.99,"The Legacy of",0.877419606841757
"16","The Best Of Sade","B000002AV5","Pop",1994,10.99,"Lovers Live",0.876084392406252
"17","Lovers Live","B00005V9QJ","Blues",2016,7.95,"The Best Of Sade",0.876084392406252
"18","Hero &amp; Heroine","B000005RXI","Folk",1992,14.81,"Ghosts",0.874974772238492
"19","Ghosts","B00000G6TP","Folk",1998,15.48,"Hero &amp; Heroine",0.874974772238492
"20","Free Yourself","B00065BYAY","Pop",2004,6.92,"Fantasia",0.874016131377715
"21","Fantasia","B000IY04RW","Pop",2006,9.99,"Free Yourself",0.874016131377715
"22","The Best of Leonard Cohen","B00000256G","Folk",1988,7.54,"Songs of Leonard Cohen",0.870541861311041
"23","Songs of Leonard Cohen","B0000024TT","Folk",1989,16.93,"The Best of Leonard Cohen",0.870541861311041
"24","Van Halen","B000002KH3","Pop",1989,3.99,"1984",0.866602399570386
"25","1984","B000002KZR","Pop",1990,9.99,"Van Halen",0.866602399570386
"26","Feels Like Home","B00018D44U","Folk",2004,8.98,"Come Away with Me",0.862561621862446
"27","Come Away with Me","B00005YW4H","Pop",2002,9.95,"Feels Like Home",0.862561621862446
"28","Soul Sessions","B0000C0FKA","Blues",2015,9.25,"Mind, Body &amp; Soul",0.862165262628642
"29","Mind, Body &amp; Soul","B0002U6GFQ","Pop",2005,9.14,"Soul Sessions",0.862165262628642
"30","Coming of Age","B00000K26Y","Rap & Hip-Hop",1999,19.52,"534",0.860626240138718
"31","534","B0009A401G","Rap & Hip-Hop",2005,10.93,"Coming of Age",0.860626240138718
"32","Experience: Jill Scott 826+","B00005R5V2","Rap & Hip-Hop",2001,18.99,"Beautifully Human: Words &amp; Sounds 2",0.859541597834222
"33","Beautifully Human: Words &amp; Sounds 2","B0002S94RK","Rap & Hip-Hop",2009,7.49,"Experience: Jill Scott 826+",0.859541597834222
"34","Their Greatest Hits 1971-1975","B000002GVS","Rock",1990,8.99,"Eagles : The Very Best Of 2CD",0.859167275941088
"35","Laugh Now Cry Later","B000FILWFY","Rap & Hip-Hop",2006,16.93,"Amerikkkas Most Wanted",0.855676850981046
"36","Amerikkkas Most Wanted","B000003B6X","Rap & Hip-Hop",1990,14.98,"Laugh Now Cry Later",0.855676850981046
"37","Amerikkkas Most Wanted","B00008BL44","Rap & Hip-Hop",2015,12.43,"Laugh Now Cry Later",0.855676850981046
"38","Not Too Late","B000KCHZK6","Folk",2007,8.5,"Come Away with Me",0.852971006542611
"39","Come Away with Me","B00005YW4H","Pop",2002,9.95,"Not Too Late",0.852971006542611
"40","Second Round's on Me","B000FDEUI0","Rap & Hip-Hop",2006,14.2,"Cheers",0.851934234681288
"41","Cheers","B0000BWVLM","Rap & Hip-Hop",2003,9.39,"Second Round's on Me",0.851934234681288
"42","When The Pawn","B00002MZ4W","Alternative Rock",1999,10.99,"Tidal",0.851511728253582
"43","Tidal","B000002BE9","Alternative Rock",1996,8.99,"When The Pawn",0.851511728253582
"44","So Long &amp; Thanks for All the Shoes","B000001IU1","Alternative Rock",2004,12.75,"Punk in Drublic",0.850111321604373
"45","Punk in Drublic","B000001IPS","Alternative Rock",2004,12.8,"So Long &amp; Thanks for All the Shoes",0.850111321604373
"46","Elton John - Greatest Hits 1970-2002","B00006RAKP","Pop",2002,13.88,"Elton John - Greatest Hits",0.843611556412053
"47","Elton John - Greatest Hits","B000001DVP","Folk",1992,7.08,"Elton John - Greatest Hits 1970-2002",0.843611556412053
"48","If I Could Turn Back Time: Cher's Greatest Hits","B00000I8KE","Pop",1999,7.07,"Gypsys Tramps &amp; Thieves",0.843390197192665
