"","title","asin","year","genre"
"1","Memory of Trees","5555991584",2007,"Pop"
"2","Changing Faces","B0000000ZW",1994,"Pop"
"3","Pet Sounds","B00000016W",1993,"Rock"
"4","Cars","B00000016T",1993,"Alternative Rock"
"5","Jazz Samba","B00000017R",1994,"Jazz"
"6","That Secret Place","B0000001P4",1994,"Jazz"
"7","Too Late to Cry","B0000002HZ",1987,"Country"
"8","Two Highways","B0000002J9",1990,"Country"
"9","Now That I've Found You: Collection","B0000002ME",1995,"Country"
"10","So Long So Wrong","B0000002O5",1998,"Country"
"11","I've Got That Old Feeling","B0000002JR",1998,"Country"
"12","Last of the True Believers","B0000003S0",1998,"Country"
"13","Life Is Too Short","B0000004UU",1989,"Blues"
"14","Greatest Hits","B0000004VW",1989,"Pop"
"15","Suddenly","B0000004VK",1989,"Blues"
"16","Damn Right, I've Got the Blues","B0000004XH",1991,"Blues"
"17","By All  Means Necessary","B0000004UM",1989,"Pop"
"18","Born to Mack","B0000004UO",1989,"Pop"
"19","Tear Down These Walls","B0000004VN",1990,"Blues"
"20","Flock of Seagulls","B0000004TW",1990,"Alternative Rock"
"21","Get in Where Ya Fit in","B00000050R",1993,"Blues"
"22","Edutainment","B0000004X1",1990,"Pop"
"23","Sex &amp; Violence","B0000004YH",1992,"Blues"
"24","Return of the Boom Bap","B000000509",1993,"Pop"
"25","12-Play","B00000050T",1993,"Pop"
"26","Super Tight","B00000050N",1994,"Rap & Hip-Hop"
"27","Game Related","B00000052P",1995,"Pop"
"28","Enigma","B000000548",1996,"Blues"
"29","Age Ain't Nothing But a Number","B000000518",1994,"Blues"
"30","Too Hard to Swallow","B0000004ZO",1992,"Blues"
"31","Krs-One","B00000052Y",1995,"Pop"
"32","Ridin Dirty","B00000053Q",1996,"Blues"
"33","R Kelly","B00000053B",1995,"Pop"
"34","Hemp Museum","B000000545",1996,"Pop"
"35","I Got Next","B00000054H",1997,"Pop"
"36","Backstreet Boys","B00000053X",1997,"Pop"
"37","Unpredictable","B000000559",1997,"Blues"
"38","The Black Bossalini","B00000054A",2008,"Pop"
"39","Mind of Mystikal","B00000053G",1995,"Blues"
"40","R U Still Down","B00000055E",2011,"Blues"
"41","Shorty the Pimp","B0000004YB",1992,"Blues"
"42","Killa Kali","B000000536",1996,"Pop"
"43","Tha Hall of Game","B000000541",1996,"Pop"
